from_station_id,to_station_id,line_name,weight,bidirectional
st_howard,st_jarvis,Red Line,1,1
st_jarvis,st_morse,Red Line,1,1
st_morse,st_loyola,Red Line,1,1
st_loyola,st_granville,Red Line,1,1
st_granville,st_thorndale,Red Line,1,1
st_thorndale,st_bryn_mawr,Red Line,1,1
st_bryn_mawr,st_berwyn,Red Line,1,1
st_berwyn,st_argyle,Red Line,1,1
st_argyle,st_lawrence,Red Line,1,1
st_lawrence,st_wilson,Red Line,1,1
st_wilson,st_sheridan,Red Line,1,1
st_sheridan,st_addison,Red Line,1,1
st_addison,st_belmont,Red Line,1,1
st_belmont,st_fullerton,Red Line,1,1
st_fullerton,st_north_clybourn,Red Line,1,1
st_north_clybourn,st_clark_division,Red Line,1,1
st_clark_division,st_chicago,Red Line,1,1
st_chicago,st_grand,Red Line,1,1
st_grand,st_lake,Red Line,1,1
st_lake,st_monroe,Red Line,1,1
st_monroe,st_jackson,Red Line,1,1
st_jackson,st_harrison,Red Line,1,1
st_harrison,st_roosevelt,Red Line,1,1
st_roosevelt,st_cermak_chinatown,Red Line,1,1
st_cermak_chinatown,st_sox_35th,Red Line,1,1
st_sox_35th,st_47th,Red Line,1,1
st_47th,st_garfield,Red Line,1,1
st_garfield,st_63rd,Red Line,1,1
st_63rd,st_69th,Red Line,1,1
st_69th,st_79th,Red Line,1,1
st_79th,st_87th,Red Line,1,1
st_87th,st_95th_dan_ryan,Red Line,1,1
st_o_hare,st_rosemont,Blue Line,1,1
st_rosemont,st_cumberland,Blue Line,1,1
st_cumberland,st_harlem,Blue Line,1,1
st_harlem,st_jefferson_park,Blue Line,1,1
st_jefferson_park,st_montrose,Blue Line,1,1
st_montrose,st_irving_park,Blue Line,1,1
st_irving_park,st_addison,Blue Line,1,1
st_addison,st_belmont,Blue Line,1,1
st_belmont,st_logan_square,Blue Line,1,1
st_logan_square,st_california,Blue Line,1,1
st_california,st_western,Blue Line,1,1
st_western,st_damen,Blue Line,1,1
st_damen,st_division,Blue Line,1,1
st_division,st_chicago,Blue Line,1,1
st_chicago,st_grand,Blue Line,1,1
st_grand,st_clark_lake,Blue Line,1,1
st_clark_lake,st_washington,Blue Line,1,1
st_washington,st_monroe,Blue Line,1,1
st_monroe,st_jackson,Blue Line,1,1
st_jackson,st_lasalle,Blue Line,1,1
st_lasalle,st_clinton,Blue Line,1,1
st_clinton,st_uic_halsted,Blue Line,1,1
st_uic_halsted,st_racine,Blue Line,1,1
st_racine,st_illinois_medical_district,Blue Line,1,1
st_illinois_medical_district,st_western,Blue Line,1,1
st_western,st_kedzie_homan,Blue Line,1,1
st_kedzie_homan,st_pulaski,Blue Line,1,1
st_pulaski,st_cicero,Blue Line,1,1
st_cicero,st_austin,Blue Line,1,1
st_austin,st_oak_park,Blue Line,1,1
st_oak_park,st_forest_park,Blue Line,1,1
